Product Name,Average Sales,Reorder Point
"""While you Were Out"" Message Book, One Form per Page",8.409333333333334,42.046666666666674
"#10 Gummed Flap White Envelopes, 100/Box",10.325,51.625
#10 Self-Seal White Envelopes,27.1705,135.8525
"#10 White Business Envelopes,4 1/8 x 9 1/2",63.202333333333335,316.01166666666666
"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",28.6672,143.336
"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",18.336,91.67999999999999
"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",88.144,440.72
#6 3/4 Gummed Flap White Envelopes,17.82,89.1
"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",451.0133333333333,2255.0666666666666
"1/4 Fold Party Design Invitations & White Envelopes, 24 8-1/2"" X 11"" Cards, 25 Env./Pack",24.990000000000002,124.95000000000002
12 Colored Short Pencils,6.066666666666666,30.333333333333332
12-1/2 Diameter Round Wall Clock,68.931,344.655
14-7/8 x 11 Blue Bar Computer Printout Paper,105.688,528.44
2300 Heavy-Duty Transfer File Systems by Perma,86.181,430.905
"24 Capacity Maxi Data Binder Racks, Pearl",884.31,4421.549999999999
24-Hour Round Wall Clock,81.252,406.26
3-ring staple pack,7.0186666666666655,35.09333333333333
3.6 Cubic Foot Counter Height Office Refrigerator,589.24,2946.2
36X48 HARDFLOOR CHAIRMAT,61.54133333333334,307.7066666666667
"3D Systems Cube Printer, 2nd Generation, Magenta",7149.945,35749.725
"3D Systems Cube Printer, 2nd Generation, White",1169.991,5849.955
3M Hangers With Command Adhesive,13.504999999999999,67.52499999999999
3M Office Air Cleaner,129.9,649.5
3M Organizer Strips,11.879999999999999,59.39999999999999
3M Polarizing Light Filter Sleeves,54.085,270.425
"3M Polarizing Task Lamp with Clamp Arm, Light Gray",547.92,2739.6
3M Replacement Filter for Office Air Cleaner for 20' x 33' Room,75.84,379.20000000000005
4009 Highlighters,8.04,40.199999999999996
4009 Highlighters by Sanford,21.3925,106.96249999999999
50 Colored Long Pencils,27.635199999999998,138.176
"6"" Cubicle Wall Clock, Black",33.43866666666667,167.19333333333336
9-3/4 Diameter Round Wall Clock,56.88375,284.41875
"ACCOHIDE 3-Ring Binder, Blue, 1""",11.309846153846154,56.54923076923077
ACCOHIDE Binder by Acco,16.313499999999998,81.5675
APC 7 Outlet Network SurgeArrest Surge Protector,150.9,754.5
ARKON Windshield Dashboard Air Vent Car Mount Holder,49.72,248.6
AT&T 1070 Corded Phone,356.76800000000003,1783.8400000000001
AT&T 1080 Corded phone,277.894,1389.47
AT&T 1080 Phone,529.6946666666666,2648.4733333333334
AT&T 17929 Lendline Telephone,133.9104,669.552
AT&T 841000 Phone,230.65714285714284,1153.2857142857142
AT&T CL2909,251.98,1259.8999999999999
AT&T CL82213,96.2468,481.234
AT&T CL83451 4-Handset Telephone,484.0765,2420.3825
AT&T EL51110 DECT,377.97,1889.8500000000001
AT&T SB67148 SynJ,158.376,791.88
AT&T TR1909W,434.6655,2173.3275
Aastra 57i VoIP phone,571.022,2855.11
Aastra 6757i CT Wireless VoIP phone,488.3306666666667,2441.653333333333
Acco 3-Hole Punch,15.28133333333333,76.40666666666665
Acco 6 Outlet Guardian Basic Surge Suppressor,19.136,95.67999999999999
Acco 6 Outlet Guardian Premium Plus Surge Suppressor,48.24266666666667,241.21333333333337
Acco 6 Outlet Guardian Premium Surge Suppressor,54.054,270.27
Acco 6 Outlet Guardian Standard Surge Suppressor,29.9832,149.916
"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",466.0566666666666,2330.283333333333
"Acco Banker's Clasps, 5 3/4""-Long",8.1792,40.896
"Acco Clips to Go Binder Clips, 24 Clips in Two Sizes",13.206,66.03
Acco D-Ring Binder w/DublLock,26.13111111111111,130.65555555555557
